0,45,90,135,180,label
-53,-51,-54,-61,-59,0
-61,-59,-55,-55,-59,0
-52,-54,-51,-55,-57,0
-62,-67,-65,-61,-63,0
-47,-45,-43,-46,-52,0
-58,-56,-56,-58,-61,0
-52,-54,-51,-55,-57,0
-68,-65,-61,-55,-57,0
-71,-66,-67,-64,-63,0
-66,-77,-61,-57,-63,0
-63,-51,-53,-64,-57,0
-46,-51,-46,-45,-46,0
-70,-63,-64,-70,-67,0
-63,-67,-64,-63,-74,0
-68,-65,-61,-55,-57,0
-62,-63,-63,-64,-62,0
-61,-64,-58,-57,-60,0
-64,-62,-56,-55,-62,0
-62,-67,-55,-52,-53,0
-45,-48,-45,-45,-48,0
-61,-64,-58,-57,-60,0
-61,-61,-64,-63,-61,0
-47,-45,-43,-46,-52,0
-53,-55,-51,-56,-64,0
-57,-60,-60,-56,-60,0
-64,-65,-61,-61,-62,0
-62,-68,-62,-58,-59,0
-61,-64,-58,-57,-60,0
-57,-60,-60,-56,-60,0
-61,-64,-58,-57,-60,0
-71,-49,-49,-60,-51,0
-70,-63,-64,-70,-67,0
-62,-56,-55,-56,-62,0
-66,-66,-59,-59,-58,0
-63,-67,-64,-63,-74,0
-70,-63,-64,-70,-67,0
-70,-63,-64,-70,-67,0
-62,-64,-70,-61,-58,0
-58,-56,-56,-58,-61,0
-68,-65,-61,-55,-57,0
-69,-66,-64,-64,-71,0
-66,-77,-61,-57,-63,0
-61,-61,-64,-63,-61,0
-69,-66,-64,-64,-71,0
-64,-62,-56,-55,-62,0
-71,-66,-67,-64,-63,0
-62,-67,-65,-61,-63,0
-63,-67,-64,-63,-74,0
-66,-77,-61,-57,-63,0
-66,-66,-59,-59,-58,0
-61,-64,-58,-57,-60,0
-51,-52,-55,-57,-63,0
-45,-48,-45,-45,-48,0
-62,-67,-55,-52,-53,0
-62,-68,-62,-58,-59,0
-49,-60,-52,-48,-48,0
-62,-64,-70,-61,-58,0
-52,-51,-60,-61,-57,0
-61,-59,-55,-55,-59,0
-62,-63,-63,-64,-62,0
-62,-67,-65,-61,-63,0
-57,-60,-60,-56,-60,0
-62,-64,-70,-61,-58,0
-62,-64,-70,-61,-58,0
-45,-48,-45,-45,-48,0
-51,-52,-57,-55,-52,0
-57,-60,-60,-56,-60,0
-57,-66,-59,-54,-62,0
-62,-68,-62,-58,-59,0
-71,-66,-67,-64,-63,0
-70,-65,-60,-60,-64,0
-63,-51,-53,-64,-57,0
-62,-68,-62,-58,-59,0
-71,-71,-66,-72,-69,0
-71,-49,-49,-60,-51,0
-66,-66,-59,-59,-58,0
-57,-60,-60,-56,-60,0
-61,-64,-58,-57,-60,0
-57,-66,-59,-54,-62,0
-62,-67,-55,-52,-53,0
-63,-70,-68,-60,-55,0
-62,-67,-65,-61,-63,0
-70,-69,-63,-65,-70,0
-63,-63,-65,-60,-59,0
-62,-67,-65,-61,-63,0
-71,-71,-66,-72,-69,0
-71,-49,-49,-60,-51,0
-71,-66,-67,-64,-63,0
-62,-67,-65,-61,-63,0
-50,-49,-50,-52,-52,0
-55,-56,-64,-64,-64,0
-69,-66,-64,-64,-71,0
-46,-51,-46,-45,-46,0
-62,-63,-63,-64,-62,0
-70,-63,-64,-70,-67,0
-55,-56,-64,-64,-64,0
-46,-51,-46,-45,-46,0
-55,-56,-64,-64,-64,0
-62,-67,-65,-61,-63,0
-57,-66,-59,-54,-62,0
-62,-68,-62,-58,-59,0
-52,-51,-60,-61,-57,0
-62,-67,-65,-61,-63,0
-52,-51,-60,-61,-57,0
-46,-51,-46,-45,-46,0
-63,-63,-65,-60,-59,0
-62,-63,-63,-64,-62,0
-57,-66,-59,-54,-62,0
-57,-60,-60,-56,-60,0
-50,-49,-50,-52,-52,0
-63,-51,-53,-64,-57,0
-62,-63,-63,-64,-62,0
-64,-62,-56,-55,-62,0
-61,-59,-55,-55,-59,0
-63,-63,-65,-60,-59,0
-66,-66,-59,-59,-58,0
-68,-65,-61,-55,-57,0
-66,-64,-64,-63,-69,0
-63,-67,-64,-63,-74,0
-47,-45,-43,-46,-52,0
-53,-55,-51,-56,-64,0
-50,-49,-50,-52,-52,0
-50,-49,-50,-52,-52,0
-51,-52,-57,-55,-52,0
-63,-67,-64,-63,-74,0
-53,-51,-54,-61,-59,0
-61,-61,-64,-63,-61,0
-70,-63,-64,-70,-67,0
-69,-66,-64,-64,-71,0
-47,-45,-43,-46,-52,0
-61,-59,-55,-55,-59,0
-57,-66,-59,-54,-62,0
-53,-51,-54,-61,-59,0
-71,-71,-66,-72,-69,0
-68,-65,-61,-55,-57,0
-62,-56,-55,-56,-62,0
-71,-49,-49,-60,-51,0
-71,-66,-67,-64,-63,0
-62,-64,-70,-61,-58,0
-52,-51,-60,-61,-57,0
-63,-70,-68,-60,-55,0
-53,-52,-60,-64,-64,0
-66,-66,-59,-59,-58,0
-66,-77,-61,-57,-63,0
-62,-56,-55,-56,-62,0
-53,-51,-54,-61,-59,0
-58,-56,-56,-58,-61,0
-51,-52,-57,-55,-52,0
-53,-51,-54,-61,-59,0
-66,-64,-64,-63,-69,0
-63,-63,-65,-60,-59,0
-51,-52,-55,-57,-63,0
-53,-51,-54,-61,-59,0
-63,-51,-53,-64,-57,0
-52,-51,-60,-61,-57,0
-64,-62,-56,-55,-62,0
-63,-70,-68,-60,-55,0
-47,-45,-43,-46,-52,0
-58,-56,-56,-58,-61,0
-53,-52,-60,-64,-64,0
-71,-66,-67,-64,-63,0
-45,-48,-45,-45,-48,0
-57,-60,-60,-56,-60,0
-62,-68,-62,-58,-59,0
-70,-65,-60,-60,-64,0
-66,-66,-59,-59,-58,0
-53,-52,-60,-64,-64,0
-47,-45,-43,-46,-52,0
-62,-67,-55,-52,-53,0
-57,-66,-59,-54,-62,0
-46,-51,-46,-45,-46,0
-62,-67,-55,-52,-53,0
-63,-51,-53,-64,-57,0
-62,-68,-62,-58,-59,0
-66,-64,-64,-63,-69,0
-51,-52,-55,-57,-63,0
-49,-60,-52,-48,-48,0
-53,-55,-51,-56,-64,0
-66,-66,-59,-59,-58,0
-52,-51,-60,-61,-57,0
-52,-51,-60,-61,-57,0
-70,-63,-64,-70,-67,0
-45,-48,-45,-45,-48,0
-49,-60,-52,-48,-48,0
-63,-51,-53,-64,-57,0
-58,-56,-56,-58,-61,0
-66,-66,-59,-59,-58,0
-47,-45,-43,-46,-52,0
-71,-66,-67,-64,-63,0
-63,-51,-53,-64,-57,0
-63,-63,-65,-60,-59,0
-66,-77,-61,-57,-63,0
-71,-49,-49,-60,-51,0
-53,-55,-51,-56,-64,0
-66,-64,-64,-63,-69,0
-63,-70,-68,-60,-55,0
-57,-60,-60,-56,-60,0
-51,-52,-55,-57,-63,0
-53,-52,-60,-64,-64,0
-63,-70,-68,-60,-55,0
-64,-65,-61,-61,-62,0
-64,-62,-56,-55,-62,0
-61,-64,-58,-57,-60,0
-70,-65,-60,-60,-64,0
-52,-54,-51,-55,-57,0
-66,-64,-64,-63,-69,0
-70,-69,-63,-65,-70,0
-55,-56,-64,-64,-64,0
-51,-52,-55,-57,-63,0
-57,-66,-59,-54,-62,0
-47,-45,-43,-46,-52,0
-53,-52,-60,-64,-64,0
-45,-48,-45,-45,-48,0
-61,-64,-58,-57,-60,0
-50,-49,-50,-52,-52,0
-62,-56,-55,-56,-62,0
-68,-65,-61,-55,-57,0
-51,-52,-57,-55,-52,0
-53,-52,-60,-64,-64,0
-51,-52,-55,-57,-63,0
-66,-66,-59,-59,-58,0
-62,-56,-55,-56,-62,0
-57,-60,-60,-56,-60,0
-71,-66,-67,-64,-63,0
-64,-65,-61,-61,-62,0
-49,-60,-52,-48,-48,0
-70,-65,-60,-60,-64,0
-62,-63,-63,-64,-62,0
-51,-52,-57,-55,-52,0
-61,-59,-55,-55,-59,0
-63,-63,-65,-60,-59,0
-45,-48,-45,-45,-48,0
-61,-64,-58,-57,-60,0
-70,-63,-64,-70,-67,0
-53,-52,-60,-64,-64,0
-70,-63,-64,-70,-67,0
-57,-66,-59,-54,-62,0
-57,-66,-59,-54,-62,0
-52,-54,-51,-55,-57,0
-63,-70,-68,-60,-55,0
-62,-64,-70,-61,-58,0
-58,-56,-56,-58,-61,0
-62,-56,-55,-56,-62,0
-46,-51,-46,-45,-46,0
-47,-45,-43,-46,-52,0
-53,-51,-54,-61,-59,0
-70,-63,-64,-70,-67,0
-51,-52,-57,-55,-52,0
-53,-55,-51,-56,-64,0
-68,-65,-61,-55,-57,0
-63,-63,-65,-60,-59,0
-58,-56,-56,-58,-61,0
-64,-65,-61,-61,-62,0
-63,-51,-53,-64,-57,0
-71,-66,-67,-64,-63,0
-62,-56,-55,-56,-62,0
-52,-51,-60,-61,-57,0
-51,-52,-55,-57,-63,0
-57,-60,-60,-56,-60,0
-53,-55,-51,-56,-64,0
-63,-51,-53,-64,-57,0
-70,-69,-63,-65,-70,0
-71,-71,-66,-72,-69,0
-61,-61,-64,-63,-61,0
-63,-67,-64,-63,-74,0
-51,-52,-57,-55,-52,0
-62,-67,-55,-52,-53,0
-64,-65,-61,-61,-62,0
-64,-65,-61,-61,-62,0
-50,-49,-50,-52,-52,0
-58,-56,-56,-58,-61,0
-70,-63,-64,-70,-67,0
-63,-70,-68,-60,-55,0
-71,-66,-67,-64,-63,0
-52,-51,-60,-61,-57,0
-51,-52,-55,-57,-63,0
-52,-54,-51,-55,-57,0
-46,-51,-46,-45,-46,0
-62,-68,-62,-58,-59,0
-53,-52,-60,-64,-64,0
-51,-52,-55,-57,-63,0
-53,-55,-51,-56,-64,0
-66,-66,-59,-59,-58,0
-64,-62,-56,-55,-62,0
-64,-65,-61,-61,-62,0
-63,-70,-68,-60,-55,0
-71,-71,-66,-72,-69,0
-47,-45,-43,-46,-52,0
-53,-51,-54,-61,-59,0
-66,-64,-64,-63,-69,0
-63,-70,-68,-60,-55,0
-69,-66,-64,-64,-71,0
-62,-67,-65,-61,-63,0
-61,-59,-55,-55,-59,0
-69,-66,-64,-64,-71,0
-66,-66,-59,-59,-58,0
-55,-56,-64,-64,-64,0
-53,-55,-51,-56,-64,0
-51,-52,-57,-55,-52,0
-51,-52,-55,-57,-63,0
-63,-67,-64,-63,-74,0
-62,-67,-65,-61,-63,0
-62,-67,-55,-52,-53,0
-55,-56,-64,-64,-64,0
-70,-63,-64,-70,-67,0
-49,-60,-52,-48,-48,0
-49,-60,-52,-48,-48,0
-66,-64,-64,-63,-69,0
-66,-77,-61,-57,-63,0
-64,-62,-56,-55,-62,0
-61,-61,-64,-63,-61,0
-62,-68,-62,-58,-59,0
-62,-63,-63,-64,-62,0
-66,-77,-61,-57,-63,0
-61,-59,-55,-55,-59,0
-63,-67,-64,-63,-74,0
-63,-63,-65,-60,-59,0
-58,-64,-67,-72,-65,1
-59,-58,-66,-66,-63,1
-68,-67,-61,-61,-57,1
-54,-57,-54,-53,-49,1
-54,-57,-54,-53,-49,1
-64,-62,-57,-54,-54,1
-57,-63,-64,-67,-57,1
-59,-58,-66,-66,-63,1
-57,-62,-61,-65,-54,1
-56,-60,-64,-67,-62,1
-58,-64,-67,-72,-65,1
-68,-63,-64,-63,-64,1
-66,-59,-55,-54,-69,1
-54,-55,-63,-63,-61,1
-65,-62,-65,-62,-64,1
-53,-63,-57,-50,-48,1
-68,-63,-64,-63,-64,1
-64,-66,-62,-63,-58,1
-44,-49,-51,-48,-47,1
-64,-62,-57,-54,-54,1
-53,-55,-66,-62,-59,1
-53,-65,-60,-55,-53,1
-65,-62,-65,-62,-64,1
-64,-66,-62,-63,-58,1
-56,-60,-64,-67,-62,1
-54,-55,-63,-63,-61,1
-53,-63,-57,-50,-48,1
-57,-62,-61,-65,-54,1
-54,-55,-63,-63,-61,1
-56,-60,-64,-67,-62,1
-56,-55,-55,-65,-55,1
-64,-66,-62,-63,-58,1
-53,-55,-66,-62,-59,1
-57,-59,-60,-58,-61,1
-54,-57,-57,-51,-52,1
-65,-62,-65,-62,-64,1
-56,-60,-67,-63,-58,1
-59,-58,-66,-66,-63,1
-57,-62,-61,-65,-54,1
-59,-58,-66,-66,-63,1
-66,-66,-69,-69,-64,1
-56,-60,-67,-63,-58,1
-64,-66,-62,-63,-58,1
-57,-59,-60,-58,-61,1
-62,-71,-60,-63,-56,1
-66,-59,-55,-54,-69,1
-68,-63,-64,-63,-64,1
-53,-63,-57,-50,-48,1
-59,-58,-66,-66,-63,1
-64,-62,-57,-54,-54,1
-58,-58,-73,-70,-69,1
-44,-49,-51,-48,-47,1
-53,-63,-57,-50,-48,1
-68,-67,-61,-61,-57,1
-54,-57,-57,-51,-52,1
-53,-63,-57,-50,-48,1
-57,-63,-64,-67,-57,1
-64,-66,-62,-63,-58,1
-58,-64,-67,-72,-65,1
-64,-62,-57,-54,-54,1
-54,-57,-57,-51,-52,1
-68,-63,-64,-63,-64,1
-57,-63,-64,-67,-57,1
-62,-71,-60,-63,-56,1
-54,-57,-57,-51,-52,1
-54,-57,-54,-53,-49,1
-56,-55,-55,-65,-55,1
-65,-62,-65,-62,-64,1
-54,-57,-54,-53,-49,1
-56,-60,-67,-63,-58,1
-58,-64,-67,-72,-65,1
-62,-71,-60,-63,-56,1
-57,-62,-61,-65,-54,1
-64,-62,-57,-54,-54,1
-58,-58,-73,-70,-69,1
-64,-62,-57,-54,-54,1
-66,-66,-69,-69,-64,1
-56,-60,-67,-63,-58,1
-54,-57,-57,-51,-52,1
-58,-58,-73,-70,-69,1
-53,-65,-60,-55,-53,1
-56,-55,-55,-65,-55,1
-56,-60,-67,-63,-58,1
-53,-63,-57,-50,-48,1
-44,-49,-51,-48,-47,1
-56,-55,-55,-65,-55,1
-54,-55,-63,-63,-61,1
-62,-71,-60,-63,-56,1
-58,-58,-73,-70,-69,1
-64,-62,-57,-54,-54,1
-64,-62,-57,-54,-54,1
-68,-67,-61,-61,-57,1
-54,-57,-57,-51,-52,1
-64,-66,-62,-63,-58,1
-44,-49,-51,-48,-47,1
-64,-66,-62,-63,-58,1
-68,-63,-64,-63,-64,1
-58,-64,-67,-72,-65,1
-59,-58,-66,-66,-63,1
-57,-59,-60,-58,-61,1
-59,-58,-66,-66,-63,1
-53,-65,-60,-55,-53,1
-66,-59,-55,-54,-69,1
-59,-58,-66,-66,-63,1
-56,-60,-67,-63,-58,1
-66,-59,-55,-54,-69,1
-66,-59,-55,-54,-69,1
-53,-65,-60,-55,-53,1
-56,-55,-55,-65,-55,1
-64,-62,-57,-54,-54,1
-64,-66,-62,-63,-58,1
-53,-55,-66,-62,-59,1
-64,-66,-62,-63,-58,1
-68,-63,-64,-63,-64,1
-66,-66,-69,-69,-64,1
-66,-59,-55,-54,-69,1
-65,-62,-65,-62,-64,1
-56,-55,-55,-65,-55,1
-57,-62,-61,-65,-54,1
-44,-49,-51,-48,-47,1
-54,-55,-63,-63,-61,1
-58,-58,-73,-70,-69,1
-57,-59,-60,-58,-61,1
-54,-57,-54,-53,-49,1
-56,-55,-55,-65,-55,1
-53,-65,-60,-55,-53,1
-53,-65,-60,-55,-53,1
-54,-57,-54,-53,-49,1
-66,-59,-55,-54,-69,1
-57,-63,-64,-67,-57,1
-68,-67,-61,-61,-57,1
-44,-49,-51,-48,-47,1
-64,-66,-62,-63,-58,1
-44,-49,-51,-48,-47,1
-53,-55,-66,-62,-59,1
-54,-57,-54,-53,-49,1
-53,-65,-60,-55,-53,1
-44,-49,-51,-48,-47,1
-56,-60,-67,-63,-58,1
-53,-55,-66,-62,-59,1
-58,-64,-67,-72,-65,1
-57,-63,-64,-67,-57,1
-65,-62,-65,-62,-64,1
-56,-60,-64,-67,-62,1
-53,-63,-57,-50,-48,1
-64,-66,-62,-63,-58,1
-53,-55,-66,-62,-59,1
-68,-63,-64,-63,-64,1
-56,-55,-55,-65,-55,1
-58,-64,-67,-72,-65,1
-62,-71,-60,-63,-56,1
-53,-63,-57,-50,-48,1
-57,-62,-61,-65,-54,1
-57,-59,-60,-58,-61,1
-65,-62,-65,-62,-64,1
-57,-62,-61,-65,-54,1
-44,-49,-51,-48,-47,1
-54,-57,-54,-53,-49,1
-56,-60,-64,-67,-62,1
-53,-65,-60,-55,-53,1
-44,-49,-51,-48,-47,1
-66,-59,-55,-54,-69,1
-54,-57,-57,-51,-52,1
-53,-63,-57,-50,-48,1
-56,-60,-64,-67,-62,1
-56,-60,-64,-67,-62,1
-66,-66,-69,-69,-64,1
-53,-55,-66,-62,-59,1
-56,-60,-67,-63,-58,1
-56,-60,-64,-67,-62,1
-62,-71,-60,-63,-56,1
-54,-55,-63,-63,-61,1
-58,-58,-73,-70,-69,1
-58,-58,-73,-70,-69,1
-56,-60,-64,-67,-62,1
-57,-59,-60,-58,-61,1
-54,-57,-54,-53,-49,1
-54,-55,-63,-63,-61,1
-58,-58,-73,-70,-69,1
-59,-58,-66,-66,-63,1
-68,-63,-64,-63,-64,1
-66,-59,-55,-54,-69,1
-66,-66,-69,-69,-64,1
-57,-59,-60,-58,-61,1
-57,-62,-61,-65,-54,1
-58,-58,-73,-70,-69,1
-57,-63,-64,-67,-57,1
-54,-57,-54,-53,-49,1
-53,-55,-66,-62,-59,1
-54,-55,-63,-63,-61,1
-53,-63,-57,-50,-48,1
-65,-62,-65,-62,-64,1
-58,-64,-67,-72,-65,1
-62,-71,-60,-63,-56,1
-59,-58,-66,-66,-63,1
-58,-64,-67,-72,-65,1
-56,-60,-67,-63,-58,1
-53,-65,-60,-55,-53,1
-68,-67,-61,-61,-57,1
-58,-58,-73,-70,-69,1
-57,-62,-61,-65,-54,1
-57,-63,-64,-67,-57,1
-58,-58,-73,-70,-69,1
-66,-66,-69,-69,-64,1
-66,-66,-69,-69,-64,1
-68,-67,-61,-61,-57,1
-66,-59,-55,-54,-69,1
-66,-59,-55,-54,-69,1
-54,-57,-54,-53,-49,1
-57,-63,-64,-67,-57,1
-57,-59,-60,-58,-61,1
-56,-55,-55,-65,-55,1
-68,-67,-61,-61,-57,1
-59,-58,-66,-66,-63,1
-57,-63,-64,-67,-57,1
-57,-62,-61,-65,-54,1
-66,-59,-55,-54,-69,1
-66,-66,-69,-69,-64,1
-53,-55,-66,-62,-59,1
-57,-62,-61,-65,-54,1
-53,-65,-60,-55,-53,1
-57,-59,-60,-58,-61,1
-53,-63,-57,-50,-48,1
-44,-49,-51,-48,-47,1
-68,-67,-61,-61,-57,1
-54,-57,-57,-51,-52,1
-66,-66,-69,-69,-64,1
-57,-63,-64,-67,-57,1
-54,-57,-54,-53,-49,1
-56,-60,-67,-63,-58,1
-68,-63,-64,-63,-64,1
-56,-60,-64,-67,-62,1
-54,-57,-54,-53,-49,1
-68,-67,-61,-61,-57,1
-68,-67,-61,-61,-57,1
-64,-62,-57,-54,-54,1
-54,-57,-57,-51,-52,1
-53,-55,-66,-62,-59,1
-54,-57,-54,-53,-49,1
-66,-66,-69,-69,-64,1
-64,-62,-57,-54,-54,1
-56,-60,-64,-67,-62,1
-54,-55,-63,-63,-61,1
-64,-66,-62,-63,-58,1
-65,-62,-65,-62,-64,1
-66,-66,-69,-69,-64,1
-64,-66,-62,-63,-58,1
